demand_slope,count_of_markets,mean_dwl,median_dwl,mean_difference_between_a_and_MC,min_dwl,max_dwl
1,22,15410.390909090907,5587.56,469.54545454545456,0.0,71253.12
2,20,5586.831,1275.125,406.8,0.0,20952.56
3,20,6940.681,315.19,544.6,0.0,21063.38
4,26,2732.777307692308,410.06,394.15384615384613,0.0,11362.78
5,22,3511.906363636364,405.0,494.45454545454544,0.0,15840.4
6,30,2757.4866666666667,408.375,493.6666666666667,0.0,10266.75
7,18,1823.4855555555555,72.32,407.3333333333333,0.0,7591.14
8,26,2492.937307692308,116.28,527.5384615384615,0.0,11475.77
9,16,2026.6143749999999,160.445,504.875,0.0,8493.39
